id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1dxKJpiZmdvmIPzzcRLk24,"The Seasons, Op. 37a, TH 135: 10. October: Autumn Song (Arr. for Violin and Piano by Charles Cerné)",1,204867,0,"['Pyotr Ilyich Tchaikovsky', 'Vása Prihoda', 'Charles Cerné']","['3MKCzCnpzw3TjUYs2v7vDA', '7hETeZMNJLaWWLdd55iGnu', '4XXmMW5aPqGylFNhWU4LmM']",1929-01-01,0.364,0.252,2,-15.194,0,0.0555,0.985,0.565,0.136,0.342,74.795,3
1eHJ0HNzSVAC5xvC5fK2A2,En mi Rancho Hay Una Flor - Instrumental (Remasterizado),0,170107,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-15,0.556,0.293,7,-7.554,1,0.0626,0.991,0.88,0.122,0.926,163.296,3
1eIrN38INCVanDji2pnsEj,Queja Melodiosa - Remasterizado,0,190000,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-06,0.583,0.167,6,-14.328,0,0.0525,0.993,0.852,0.103,0.598,118.097,4
1edSnJ9AVeZLq289IDBSFa,La del Soto del Parral - Instrumental (Remasterizado),0,186000,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-22,0.635,0.216,2,-11.319,1,0.113,0.995,0.743,0.127,0.86,181.206,4
1h4TGS0ytq2EujrSjsbopD,I'll Be Getting Along (Carroll Gibbons),0,192493,0,['Carroll Gibbons'],['7IFehwNMIwBSIf40iX0gm9'],1929,0.677,0.0844,7,-17.661,0,0.0685,0.981,0.000496,0.432,0.602,82.17,4
1iIMYJTBOOWnuOiCr2kiYW,Sentate Hermano,0,171680,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929,0.753,0.188,7,-12.742,1,0.081,0.995,0.467,0.111,0.627,122.076,4
1jU8WBmW5hNtSd9QUNlhoK,Ultimo Adios,0,211440,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929,0.537,0.325,4,-7.444,1,0.0774,0.994,0.0389,0.15,0.824,118.65,4
1jVupShR9sIW5TQST9LXn2,Ya No Puedo Llorar - Remasterizado,0,196000,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-05,0.282,0.212,0,-12.53,1,0.088,0.992,0.0293,0.209,0.325,69.858,4
1jbcF0Syi8L4AO4sYU87N9,Lejos de Mi Buenos Aires - Remasterizado,0,202000,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-22,0.655,0.185,7,-15.071,1,0.0791,0.995,0.863,0.11,0.549,118.016,4
1jdqzvUB0aF6LIpLhsP7Gn,La Rancherita de Santa Lucia - Instrumental (Remasterizado),1,166000,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-31,0.679,0.332,7,-12.175,1,0.276,0.995,0.81,0.121,0.97,158.921,3
1lO227DTUWCt2otAKlCeu7,Chau Ingrata - Remasterizado,0,159147,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-15,0.802,0.365,5,-12.622,0,0.115,0.993,0.824,0.24,0.896,119.175,4
1mMDgTyplhR1McxE5rHuNT,I Can't Believe That You're In Love With Me,1,183960,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1929,0.579,0.203,0,-12.631,1,0.0745,0.931,0.00274,0.0787,0.766,157.885,4
1n1ecG9F6HtgZq65BqqGTK,Mack the Knife,2,201467,0,['Louis Armstrong'],['19eLuQmk9aCobbVDHc6eek'],1929,0.673,0.377,0,-14.141,1,0.0697,0.586,0.0,0.332,0.713,88.973,4
1nZlWpV5u26f5h72XzjWkw,Die Fledermaus (short version): Part 8,0,315320,0,"['Johann Strauss II', 'Franz Völker', 'Eduard Kandl', 'Staatskapelle Berlin', 'Hermann Weigert']","['5goS0v24Fc1ydjCKQRwtjM', '0qct7lhdKDGolKZm9LVnYy', '5KhhfzejM1ctmijI9uULet', '7vEPPI71V8dEHtEhPMAxWT', '3jITPa4gnQdIk9b6PHQz3q']",1929-01-01,0.65,0.145,5,-17.365,1,0.611,0.984,5.69E-06,0.356,0.356,92.45,3
1nbVbhJozMPRCVLZbCJ23V,La Traicion - Remasterizado,0,182547,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-17,0.705,0.258,1,-9.221,0,0.108,0.954,0.0,0.0924,0.552,115.571,4
1nusZf5cvmX9QRrExtEOYc,Comadre - Remasterizado,0,193507,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-10-22,0.711,0.171,9,-11.753,1,0.0769,0.992,0.00268,0.131,0.687,118.989,4
1o7NXxC7eWrXXVCU8XQwR7,Call The Fire Wagon,1,142800,0,['Memphis Minnie'],['2WGyRLosdDgGJTLijIPpNC'],1929,0.647,0.288,5,-8.995,1,0.0841,0.994,0.00162,0.118,0.671,162.968,4
1pIw0OyRVqNRD7AK0DMXNr,Memories Of You,1,192053,0,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],['0ceJesJTMQFYalVhYf4aed'],1929,0.563,0.145,3,-14.257,1,0.0514,0.992,0.1,0.104,0.236,107.343,4
1pw6kiSneP8MPwHmCyuw5f,Hormiguita - Instrumental (Remasterizado),0,159987,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-18,0.638,0.317,5,-8.613,1,0.0754,0.993,0.855,0.129,0.775,124.478,4
1qiDXtzrZsTR0UHhxUuXaj,Mister Williams - Remasterizado,0,164000,0,"['Francisco Canaro', 'Charlo']","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-06,0.625,0.299,6,-9.897,0,0.0345,0.996,0.752,0.482,0.892,95.088,4
1r0pdJpkOyicUUH6QSJ3wx,Negra Fiera - Instrumental (Remasterizado),0,180187,0,['Francisco Canaro'],['2maQMqxNnlRrBrS1oAsrX9'],1929-10-04,0.723,0.33,9,-15.209,1,0.0948,0.933,0.243,0.12,0.467,114.632,4
